,2023-09-22,2023-09-23,2023-09-24,2023-09-25,2023-09-26,2023-09-27,2023-09-28,2023-09-29,2023-09-30,2023-10-01,2023-10-02
Coke 350ml CR 24RB,581,-104,-265,362,402,405,406,671,-2,-152,484
COKE 500ML 20 RB,7,-12,-14,0,2,-1,9,12,-7,-9,5
Coke Zero 750ml 6 S/W NP,109,11,-3,43,54,56,42,104,6,-7,39
DASANI STILL 500ML 12 S/W NP,19,0,-3,8,7,5,7,19,1,-1,9
DASANI WATER 1.5L 6 S/W NP,19,-7,-15,2,4,5,3,17,-9,-16,1
Fanta Fruit Blast 300ml 12 S/W NP,23,3,0,10,13,15,13,23,2,-2,8
FANTA FRUIT BLAST 350ML RGB X 24,30,-2,-8,17,20,23,27,38,4,-3,22
FANTA ORANGE 1.25L 6 S/W NP,104,44,38,70,64,71,67,103,44,38,70
Fanta Orange 300ml 12 S/W NP,60,3,-11,22,27,30,25,59,1,-13,20
Fanta Orange 350ml CR 24RB,332,-69,-161,128,173,156,187,319,-72,-154,145
Fanta Orange 500ml 20 RB,4,-2,-3,2,2,2,6,8,1,0,5
Fanta P/apple 350ml CR 24RB,186,-63,-132,72,77,59,64,155,-93,-160,47
Fanta Passion 1.25L 6 S/W NP,1,0,0,1,0,0,1,1,0,0,1
Fanta Passion 300ml 12 S/W NP,41,1,-7,14,14,13,16,40,0,-8,13
Fanta Passion 350ml 24 RB,137,-66,-110,74,76,72,82,137,-67,-114,69
Fanta Passion 500ml 20 RB,0,-1,-1,-1,0,0,0,0,0,0,0
Fanta Pineapple 300ML 12 S/W NP,44,0,-8,14,14,15,19,43,0,-10,11
Fanta Pineapple 500ml 20 RB,2,0,0,3,3,2,3,5,3,3,7
KREST BITTER LEMON 300ML 24 RB,3,-7,-11,-3,-1,-2,1,3,-6,-10,-1
KREST SODA WATER 300ML 24 RB,8,-4,-6,2,4,4,7,10,-2,-5,3
Krest Soda Water 500ml 12 S/W NP,9,5,5,7,7,7,7,9,5,5,7
Krest Tonic 300ml 24 RB,2,-9,-15,-3,0,-1,1,2,-8,-13,-1
Krest Tonic Water 500ml 12 S/W NP,17,7,6,11,12,14,13,19,10,9,14
MINUTE MAID MANGO 1L 6 SW PET,50,20,15,38,42,39,37,54,23,19,41
MINUTE MAID MANGO 400ML 12 SW NP,133,60,54,93,88,95,91,130,58,52,92
Monster Energy TZ 500ml 1x24 C,0,0,0,0,0,0,0,0,0,0,0
Novida Pineapple 300ml 12 S/W NP,61,-11,-20,2,15,6,24,60,-12,-22,0
Spar Pinenut 350ml 24 RB,191,-17,-73,105,92,78,76,174,-33,-88,91
SPRITE 1.25L 6 S/W NP,36,10,7,25,25,26,26,37,11,8,26
Sprite 300ml 12 S/W NP,39,-4,-20,13,20,20,17,40,-4,-20,13
Sprite 350ml CR 24RB,223,-80,-145,99,144,146,140,243,-55,-116,133
Sprite Zero 750ml 6 S/W NP,20,-1,-4,10,13,14,9,23,0,-3,10
Tangawizi 350ml 24 RB,6,-37,-64,0,6,-8,-13,-5,-49,-75,-9
